User id is: 30167
Model is: tfidf
['nudity (topless)', 0.06931034145950396]
['courtroom', 0.0046262326391265495]
['brilliant', 0.004593243524871922]
['cia', 0.004575524970499506]
['bad acting', 0.004559564058498606]
['road trip', 0.00453451749229518]
['thought-provoking', 0.004503295261411366]
['heartbreaking', 0.004470638023769021]
['american civil war', 0.004416848800516357]
['new york city', 0.004386122574203742]
['author:alan moore', 0.004373834789376435]
['oscar (best music - original score)', 0.0043179060355991086]
['touching', 0.004298413314659646]
['historical', 0.004273928269892044]
['new york', 0.004239806422720471]
['love', 0.004232057821227991]
['pg-13', 0.004215296300308229]
['suspense', 0.004178081517570131]
['ballet', 0.004158281851526769]
['horrible', 0.004148945128872782]
['documentary', 0.00413940743993935]
['interracial romance', 0.004126275114818966]
['strange', 0.0040944155774111065]
['gangs', 0.004087459338720921]
['chris tucker', 0.004065847407809048]
['blindness', 0.004055996325417774]
['hackers', 0.004039094060109563]
['dark comedy', 0.00395382825748973]
['oscar (best supporting actress)', 0.003935649648002614]
['treasure', 0.003912108119859297]
['civil war', 0.0038975272526968504]
['hacking', 0.003895696582163135]
['spying', 0.003857132542291994]
['obsession', 0.0037975652779261453]
['alien', 0.0037632807326432468]
['cgi', 0.003759273570675706]
['espionage', 0.003754266476706183]
['dreamworks', 0.0037535544061998386]
['nonlinear', 0.0037051656849537563]
['shallow', 0.0036806742443921624]
['robots', 0.003646111848809633]
['photography', 0.003626748892720053]
['based on book', 0.003620995376071018]
['great movie', 0.0036155836492709754]
['brutality', 0.003600324006887108]
['excellent', 0.0035963551703587183]
['father-son relationship', 0.0035937133305227104]
['humanity', 0.003591999355026605]
['dark hero', 0.003589341240488704]
['oscar', 0.00358837508664479]
['death penalty', 0.003567266812366694]
['atmospheric', 0.0035501959840057405]
['black and white', 0.003509572800397867]
['heroine in tight suit', 0.003493472912728313]
['fish', 0.0034923205338005933]
['franchise', 0.003477448712627396]
['race', 0.0034757981668023805]
['violence', 0.0034639726244795085]
['bad', 0.0034535104108508667]
['dumb but funny', 0.003441767621514239]
['dumb', 0.0034392989364975548]
['over the top', 0.0034013500756160937]
['christmas', 0.003399609013820406]
['dystopia', 0.003373537705895941]
['gangsters', 0.003344537701419822]
['musical', 0.003332101083278903]
['psychiatrist', 0.0033193185737274257]
['very funny', 0.003314736913022526]
['twist ending', 0.003245399077288339]
['wwii', 0.003226837869719752]
['fantasy world', 0.003222568626108341]
['family bonds', 0.0032210421410920455]
['alternate universe', 0.0031977482680702477]
['adventure', 0.003197343916059184]
['dreamlike', 0.003194624047401545]
['spoof', 0.0031007349918110985]
['nuclear', 0.003084186762556763]
['reflective', 0.003069509919478047]
['school', 0.0030259463633592514]
['romantic comedy', 0.0030223617969505523]
['love story', 0.0030222118393501488]
['lawyers', 0.0029888564054660572]
['adapted from:book', 0.0029310229836761134]
['magic', 0.002774735894038506]
['narrated', 0.0026677142520516394]
['jane austen', 0.002633130079599202]
['amnesia', 0.0025553389750658803]
['love triangles', 0.002537387817564719]
['bittersweet', 0.0025124854632255535]
['oscar (best writing - screenplay written directly for the screen)', 0.0024958843975039146]
['awful', 0.002454665580848531]
['ensemble cast', 0.002435844520669799]
['philosophy', 0.0023998297598902207]
['casino', 0.002271532191373003]
['alter ego', 0.002271229127766693]
['dynamic cgi action', 0.002081167022314815]
['witty', 0.002047617265497014]
['great', 0.0020398297478415634]
['super hero', 0.002030383804769188]
['special effects', 0.0020127026444416245]
['oscar (best animated feature)', 0.0017153704046017784]
['oscar winner', 0.001703920971746984]
['kids', 0.001693949303603382]
['disney', 0.0016915579347167922]
['cartoon', 0.0016913459124263893]
