Genre 1 is: Adventure
Genre 2 is: Action
Model is: P-DIFF1
['disney', 0.5086505696369579]
['shallow', 0.14338146814123848]
['science fiction', 0.14338146814123848]
['graphic novel', 0.14338146814123848]
['comic book adaption', 0.14338146814123848]
['great movie', 0.14338146814123848]
['indians', 0.14338146814123848]
['teens', 0.14338146814123848]
['exciting', 0.14338146814123848]
['sexy', 0.14338146814123848]
['funny', 0.14088494964310955]
['super-hero', 0.10287572714948097]
['sci-fi', 0.10287572714948097]
['boring', 0.10287572714948097]
['overrated', 0.07802549465515768]
['video game adaptation', 0.06829130604143185]
['superhero', 0.06829130604143185]
['based on a tv show', 0.051307000467682135]
['comic book', 0.051307000467682135]
['time travel', 0.0380807217061282]
['heroine in tight suit', 0.0380807217061282]
['adapted from:game', 0.0380807217061282]
['espionage', 0.0380807217061282]
['war', 0.02854375517938224]
['imdb top 250', 0.02854375517938224]
['violence', 0.02854375517938224]
['based on a book', 0.024614290035075155]
['franchise', 0.024614290035075155]
['sequel', 0.024614290035075155]
['spying', 0.014006790081263622]
['future', 0.014006790081263622]
['classic', 0.014006790081263622]
['space', 0.014006790081263622]
['lesbian', 0.014006790081263622]
['thriller', 0.014006790081263622]
['quirky', 0.014006790081263622]
['amazing cinematography', 0.014006790081263622]
['nudity (topless - brief)', 0.014006790081263622]
['adapted from:book', 0.014006790081263622]
['plot holes', 0.014006790081263622]
['not funny', 0.014006790081263622]
['atmospheric', 0.014006790081263622]
['interesting', 0.014006790081263622]
['remake', 0.010948619213286286]
['murder', 0.010948619213286286]
['history', 0.009758568238526638]
['nudity (topless)', 0.0013258695934359455]
['gothic', 0.0013258695934359455]
['comedy', 0.0013258695934359455]
['parody', 0.0008727277494632917]
['true story', 0.0008727277494632917]
['marvel', 0.0008727277494632917]
['motorcycle', 0.0008727277494632917]
['dystopia', 0.0008727277494632917]
['werewolves', 0.0008727277494632917]
['zombies', 0.0008727277494632917]
['drugs', 0.0008727277494632917]
['vampires', -0.0014718992390677708]
['action', -0.006509753332955869]
